%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35
1616790910391326633,240,1616790910334798336,map,-3.86525017295,-1.91635107805,0.0,0.0,0.0,-0.753076736956,0.657932692801,0.0163263797603,0.00175867516768,0.0,0.0,0.0,0.0,0.00175867516768,0.0506000683579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0446913175362
1616790910656585432,241,1616790910600794315,map,-3.90490947899,-2.19587343754,0.0,0.0,0.0,-0.770279834332,0.637706026961,0.0173791925246,0.002989032279,0.0,0.0,0.0,0.0,0.002989032279,0.0484015696028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0421282165014
1616790910933641431,242,1616790910868206024,map,-3.95202308437,-2.43975550139,0.0,0.0,0.0,-0.783231402846,0.621730302941,0.0161814836666,0.00185206472705,0.0,0.0,0.0,0.0,0.00185206472705,0.04698238888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0408755964843
1616790911196473505,243,1616790911134732246,map,-4.01391463372,-2.69926849082,0.0,0.0,0.0,-0.80147570583,0.598027334629,0.0215778627236,0.00143814790898,0.0,0.0,0.0,0.0,0.00143814790898,0.0465844589533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044503259326
1616790911456877382,244,1616790911401282787,map,-4.10019489687,-2.93936774639,0.0,0.0,0.0,-0.819794317072,0.572658080967,0.0241894302224,-0.00189447525971,0.0,0.0,0.0,0.0,-0.00189447525971,0.0477528289913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0514771489366
1616790911724641777,245,1616790911667566538,map,-4.19861084055,-3.18353197632,0.0,0.0,0.0,-0.823305936423,0.567597863853,0.0232589685825,-0.00107852658612,0.0,0.0,0.0,0.0,-0.00107852658612,0.0477194386649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0470356769485
1616790911997065459,246,1616790911937181473,map,-4.27808918848,-3.42304204507,0.0,0.0,0.0,-0.782316065354,0.622881669251,0.0226891194964,-0.000845080977486,0.0,0.0,0.0,0.0,-0.000845080977486,0.0444218558633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0423624263502
1616790912258248348,247,1616790912201443672,map,-4.34417131819,-3.68578286145,0.0,0.0,0.0,-0.769509283191,0.638635626224,0.0199307089315,-0.000355239039973,0.0,0.0,0.0,0.0,-0.000355239039973,0.0392124850507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0413668101493
1616790912536129069,248,1616790912468629599,map,-4.36655814713,-3.94690376521,0.0,0.0,0.0,-0.717303600598,0.696760751312,0.0175014033112,-0.00146529593123,0.0,0.0,0.0,0.0,-0.00146529593123,0.0368605841287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040969254751
1616790912790878559,249,1616790912734947205,map,-4.35722805539,-4.20650080877,0.0,0.0,0.0,-0.667496202851,0.744613201052,0.0173539808,-0.00324635257257,0.0,0.0,0.0,0.0,-0.00324635257257,0.0359415314219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0421339823654
1616790913059073093,250,1616790913001968622,map,-4.31588543256,-4.45494495982,0.0,0.0,0.0,-0.645197747919,0.764015619003,0.0176790288884,-0.00522238332271,0.0,0.0,0.0,0.0,-0.00522238332272,0.0380357965508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0442562940969
1616790913331085735,251,1616790913268393517,map,-4.26976299862,-4.70302497409,0.0,0.0,0.0,-0.633706809861,0.773573318526,0.0171222630132,-0.00635014476121,0.0,0.0,0.0,0.0,-0.00635014476121,0.0349020096455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0425829295627
1616790913664359064,252,1616790913601449013,map,-4.19963492878,-5.00024909098,0.0,0.0,0.0,-0.625969726731,0.779847357639,0.0200021088026,-0.00944885277015,0.0,0.0,0.0,0.0,-0.00944885277015,0.0382661086286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0560763977168
1616790914127975836,253,1616790914068520784,map,-4.13002090016,-5.27039370283,0.0,0.0,0.0,-0.614171390384,0.789172670101,0.0224327511318,-0.00903203023603,0.0,0.0,0.0,0.0,-0.00903203023603,0.0347654721204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055722083498
1616790915129180615,254,1616790915069009781,map,-4.0498808871,-5.56453943215,0.0,0.0,0.0,-0.609063680878,0.793121322772,0.0301822700706,-0.00846808243272,0.0,0.0,0.0,0.0,-0.00846808243272,0.0318716738312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0592145357313
1616790917790603730,255,1616790917734456539,map,-3.98931295386,-5.69664481759,0.0,0.0,0.0,-0.369198856078,0.929350420816,0.0271647235967,-0.0124525861706,0.0,0.0,0.0,0.0,-0.0124525861706,0.0320187617932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0463182644714
1616790918591518969,256,1616790918534173489,map,-3.99242649367,-5.70132378974,0.0,0.0,0.0,-0.101263591582,0.994859630812,0.0320179434202,-0.0124591100859,0.0,0.0,0.0,0.0,-0.0124591100859,0.01819057733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0324023037381
1616790921656617210,257,1616790921601382732,map,-3.7195471942,-5.71767719222,0.0,0.0,0.0,-0.0241861355623,0.999707472637,0.0432173470442,-0.00767649328936,0.0,0.0,0.0,0.0,-0.00767649328936,0.0104423420266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031325373811
1616790921923174090,258,1616790921867082596,map,-3.44793690575,-5.74344848578,0.0,0.0,0.0,-0.0777716331884,0.99697119972,0.0489477145979,-0.00517931630718,0.0,0.0,0.0,0.0,-0.00517931630718,0.0078721654048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0308621346631
1616790922192047895,259,1616790922134802341,map,-3.17144514954,-5.77179826157,0.0,0.0,0.0,-0.0598688257873,0.998206253085,0.0588333525781,-0.00455296464197,0.0,0.0,0.0,0.0,-0.00455296464197,0.00748271027949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0338034396696
